FIGHTER_NAME,WINS,LOSSES,DRAWS,NO_CONTESTS,HEIGHT_CM,WEIGHT_KG,REACH_CM,STANCE,BIRTHDAY,SLPM,STR_ACC,SAPM,STR_DEF,TD_AVG,TD_ACC,TD_DEF,SUB_AVG,URL
"Omari Akhmedov",21,6,1,0,182.88,83.914520,185.42,Orthodox,1987-10-12,2.97,34,2.84,55,2.58,45,65,0.2,"http://ufcstats.com/fighter-details/16690d100f995f8f"
"Yoshihiro Akiyama",14,6,0,2,177.80,77.110640,190.50,Orthodox,1975-07-29,3.10,41,3.62,57,2.29,67,92,1.0,"http://ufcstats.com/fighter-details/b0550072e5f0afa7"
"Rostem Akman",6,2,0,0,177.80,77.110640,182.88,Switch,1991-12-19,1.80,25,3.97,57,1.00,40,87,0.0,"http://ufcstats.com/fighter-details/1fc64507a0cb38cf"
"Razak Al-Hassan",13,5,0,0,187.96,92.986360,,Orthodox,1982-05-14,3.27,39,3.14,60,0.65,14,57,0.0,"http://ufcstats.com/fighter-details/38b50fd1e1b5b656"
"Abdul-Kareem Al-Selwady",15,4,0,0,172.72,70.306760,175.26,Orthodox,1995-04-10,4.14,34,3.60,59,2.32,30,20,0.0,"http://ufcstats.com/fighter-details/597499ac7a5aac62"
"Mostapha Al-Turk",6,6,0,0,187.96,111.130040,195.58,Orthodox,1973-07-14,1.36,19,3.61,53,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/1cf1310684a841f5"
"Herdem Alacabek",5,1,0,0,187.96,92.986360,190.50,Orthodox,1991-06-07,3.84,65,6.66,23,2.06,50,42,0.0,"http://ufcstats.com/fighter-details/7578cc6bd750206b"
"Javi Alanis",0,4,0,0,167.64,61.234920,,,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/2144954270be834d"
Alatengheili,16,9,2,0,165.10,61.234920,167.64,Orthodox,1991-12-14,2.88,33,5.03,58,1.82,40,72,0.0,"http://ufcstats.com/fighter-details/1897b7b913736a7c"
"Amir Albazi",17,1,0,0,165.10,56.699000,172.72,Orthodox,1993-10-27,2.80,39,3.07,63,1.71,33,40,0.7,"http://ufcstats.com/fighter-details/6d35bf94f7d30241"
"Brett Albee",3,2,0,0,,102.058200,,,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/9b28292abe3166d5"
"John Albert",6,5,0,0,172.72,61.234920,172.72,Orthodox,1986-10-13,3.05,49,2.82,35,0.00,0,50,6.1,"http://ufcstats.com/fighter-details/7bd94b60d7521e4a"
"Junior Albini",14,6,0,0,190.50,119.748288,187.96,Orthodox,1991-03-15,3.98,51,6.08,52,1.54,37,100,0.0,"http://ufcstats.com/fighter-details/c482c8605455a213"
"Wes Albritton",0,1,0,0,177.80,85.275296,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/184b955181bdef52"
"Aleksandra Albu",3,2,0,0,157.48,52.163080,160.02,Orthodox,1990-07-14,4.83,47,5.56,38,2.27,50,77,0.4,"http://ufcstats.com/fighter-details/e76d9f656ceb82ab"
"Israel Albuquerque",0,3,0,0,,83.914520,,Orthodox,,0.32,13,3.34,25,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/dd1b90eea08887f6"
"Juan Alcain",1,2,0,0,,,,,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/39f62b833e4cf126"
"Iuri Alcantara",35,10,0,1,175.26,61.234920,180.34,Southpaw,1980-08-04,2.72,45,2.79,49,1.44,62,60,0.8,"http://ufcstats.com/fighter-details/2f95a3c6d58b2aad"
"Ildemar Alcantara",21,11,0,0,187.96,83.914520,198.12,Orthodox,1982-11-18,1.93,38,2.63,50,2.00,68,81,0.9,"http://ufcstats.com/fighter-details/7c6e87729e824ef4"
"Alfonso Alcarez",1,3,1,0,160.02,65.770840,,,1970-06-10,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/1e38bba6738b7b10"
"Gilbert Aldana",6,2,0,0,185.42,113.398000,,Orthodox,1977-08-25,2.91,54,6.26,26,2.57,40,33,0.0,"http://ufcstats.com/fighter-details/d26934530dc5b248"
"Irene Aldana",15,7,0,0,175.26,61.234920,172.72,Orthodox,1988-03-26,5.24,40,6.33,57,0.16,50,76,0.2,"http://ufcstats.com/fighter-details/578ef12674df1e6a"
"Hector Aldana",4,3,0,0,180.34,77.110640,182.88,Orthodox,1988-08-17,3.59,38,5.08,59,0.93,100,0,0.0,"http://ufcstats.com/fighter-details/c487223b0289bda9"
"Jose Alday",14,6,1,0,170.18,61.234920,172.72,Orthodox,1991-09-14,3.13,44,3.13,58,0.00,0,57,0.0,"http://ufcstats.com/fighter-details/7460ddef986d3144"
"Jose Aldo",31,8,0,0,170.18,61.234920,177.80,Orthodox,1986-09-09,3.57,46,3.74,60,0.49,54,91,0.1,"http://ufcstats.com/fighter-details/d0f3959b4a9747e6"
"JJ Aldrich",13,6,0,0,165.10,56.699000,170.18,Southpaw,1992-09-29,4.05,46,4.53,60,0.71,25,66,0.0,"http://ufcstats.com/fighter-details/6fd953151d981979"
"Irina Alekseeva",5,2,0,0,172.72,61.234920,170.18,Orthodox,1990-06-27,3.84,43,3.55,48,0.87,20,100,0.9,"http://ufcstats.com/fighter-details/103e2e33a60683e1"
"Talita Alencar",5,0,1,0,154.94,52.163080,147.32,Orthodox,1990-10-17,2.37,28,4.80,48,2.50,15,50,0.0,"http://ufcstats.com/fighter-details/d35298b6df168456"
"Jim Alers",13,3,0,1,175.26,65.770840,180.34,Orthodox,1986-10-14,2.90,40,4.38,56,2.26,41,80,0.3,"http://ufcstats.com/fighter-details/fe5a9547479396ab"
"John Alessio",35,17,0,2,177.80,70.306760,182.88,Orthodox,1979-07-05,2.10,39,2.91,54,1.85,38,70,1.2,"http://ufcstats.com/fighter-details/7a15f3694c5cbc02"
"Houston Alexander",17,15,1,2,182.88,92.986360,182.88,Orthodox,1972-03-22,3.06,54,3.20,52,1.19,57,33,0.0,"http://ufcstats.com/fighter-details/0541480fbf719d86"
"Kenneth Alexander",7,6,0,1,175.26,70.306760,,Orthodox,1977-09-25,0.88,19,2.20,66,4.71,26,0,0.0,"http://ufcstats.com/fighter-details/8fd76e1b49c00ae2"
"Lucas Alexander",8,4,0,0,180.34,65.770840,185.42,Orthodox,1995-07-28,5.23,55,1.83,71,0.00,0,57,0.0,"http://ufcstats.com/fighter-details/11583163f45c7b31"
"Marcio Alexandre Junior",17,4,0,0,182.88,83.914520,190.50,Southpaw,1989-05-05,1.61,45,2.89,42,0.35,20,66,0.7,"http://ufcstats.com/fighter-details/d53482bef23235ba"
"Olaf Alfonso",8,12,0,0,187.96,77.110640,,Orthodox,1974-08-06,1.65,38,4.77,53,0.37,7,22,0.7,"http://ufcstats.com/fighter-details/b757c73f443d4fca"
"Pablo Alfonso",9,7,0,0,172.72,65.770840,,,1983-05-09,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1"
"Levi Alford",1,7,0,0,,,,,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/41b34b7f11f6d085"
"Bill Algeo",18,7,0,0,182.88,65.770840,185.42,Switch,1989-06-09,6.11,52,4.41,47,0.89,46,56,0.1,"http://ufcstats.com/fighter-details/9abc648e76c4493a"
"Royce Alger",3,2,0,0,177.80,90.264808,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/669a3cb6e394f515"
"Amir Aliakbari",10,1,0,0,190.50,113.398000,,,1984-06-10,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/e17770faae3ca54c"
"Sultan Aliev",15,3,0,0,180.34,77.110640,187.96,Orthodox,1984-09-17,1.41,45,2.20,56,1.76,38,100,0.0,"http://ufcstats.com/fighter-details/e70de1859b7ee78e"
"Nurullo Aliev",9,0,0,0,177.80,70.306760,182.88,Orthodox,2000-12-08,2.50,51,0.46,59,3.06,44,0,0.0,"http://ufcstats.com/fighter-details/ca28cdf526d6b6e9"
"Ikram Aliskerov",15,1,0,0,182.88,83.914520,193.04,Southpaw,1992-12-07,8.24,65,7.15,36,2.33,33,0,2.3,"http://ufcstats.com/fighter-details/b07aed698fba8624"
"Leon Aliu",10,2,0,0,182.88,83.914520,187.96,Orthodox,1989-07-14,6.32,50,10.11,38,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/6db394bf6c3b017c"
"John Allan",13,7,0,1,185.42,92.986360,190.50,Orthodox,1993-02-22,3.56,42,5.74,52,1.40,71,50,0.8,"http://ufcstats.com/fighter-details/6ebe96a116e79e52"
"George Allen",13,19,2,0,187.96,92.986360,,"Open Stance",1967-01-13,0.80,38,3.10,43,0.00,0,50,0.0,"http://ufcstats.com/fighter-details/1e13936d708bcff7"
"Arnold Allen",19,3,0,0,172.72,65.770840,177.80,Southpaw,1994-01-22,3.39,40,2.91,61,1.02,50,75,0.4,"http://ufcstats.com/fighter-details/040a74bb0a465c54"
"Brendan Allen",23,5,0,0,187.96,83.914520,190.50,Orthodox,1995-12-28,3.87,54,3.60,46,1.36,47,58,1.7,"http://ufcstats.com/fighter-details/2f181c0467965b98"
"Daniel Allen",5,0,0,0,182.88,70.306760,190.50,Southpaw,1992-08-10,7.60,51,5.87,53,2.00,66,100,0.0,"http://ufcstats.com/fighter-details/adf9a901308fb8e3"
"Ben Alloway",18,8,0,0,180.34,77.110640,193.04,Orthodox,1981-02-19,1.28,49,1.90,59,0.62,50,26,0.0,"http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb"
"Asu Almabayev",19,2,0,0,162.56,56.699000,165.10,Orthodox,1994-01-25,3.02,59,1.42,53,7.12,57,0,1.3,"http://ufcstats.com/fighter-details/8d3273573b85be09"
"Bekzat Almakhan",11,2,0,0,170.18,61.234920,172.72,Orthodox,1997-10-08,0.20,18,4.53,30,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1"
"Ricardo Almeida",13,5,0,0,182.88,77.110640,187.96,Orthodox,1976-11-29,2.02,49,1.20,61,3.74,38,31,1.2,"http://ufcstats.com/fighter-details/91186547a7f3f758"
"Magno Almeida",10,3,0,1,182.88,70.306760,,,1985-06-06,1.67,36,2.60,41,0.00,0,40,5.0,"http://ufcstats.com/fighter-details/d615d6a10a4704cd"
"Thomas Almeida",22,5,0,0,170.18,65.770840,177.80,Southpaw,1991-07-31,4.84,43,4.93,61,0.17,14,75,0.0,"http://ufcstats.com/fighter-details/2b074403b7c6cdb4"
"Ericka Almeida",7,3,0,0,167.64,52.163080,,Orthodox,1989-03-05,1.07,39,3.33,43,0.50,33,37,0.0,"http://ufcstats.com/fighter-details/67a992d4cff22466"
"Estefani Almeida",7,3,0,0,162.56,56.699000,,Orthodox,1988-10-17,3.13,37,6.07,42,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/f16ddfa31236efed"
"Jailton Almeida",20,3,0,0,190.50,92.986360,200.66,Orthodox,1991-06-26,2.54,64,0.74,40,6.88,59,75,2.2,"http://ufcstats.com/fighter-details/41e83a89929d1327"
"Lucas Almeida",14,3,0,0,180.34,65.770840,180.34,Orthodox,1991-01-31,5.05,47,5.32,45,0.00,0,40,0.0,"http://ufcstats.com/fighter-details/710f0f8c5d5c9d41"
"Cesar Almeida",4,0,0,0,185.42,83.914520,187.96,Orthodox,1988-03-28,4.73,61,1.87,48,0.00,0,70,0.0,"http://ufcstats.com/fighter-details/64d47ef881a437a4"
"Mauricio Alonso",13,7,0,1,187.96,77.110640,,,1980-02-27,5.74,34,1.91,67,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/c6bf75775b278ed8"
"Sarah Alpar",9,6,0,0,162.56,61.234920,160.02,Southpaw,1991-06-01,2.36,44,6.06,38,1.61,26,20,0.4,"http://ufcstats.com/fighter-details/49b130de1da2e1bf"
"Ali AlQaisi",8,5,0,0,167.64,61.234920,172.72,Orthodox,1990-09-23,2.43,42,1.97,56,3.50,29,60,1.0,"http://ufcstats.com/fighter-details/e87a13e02c01331d"
"Rico Altamirano",4,3,0,0,177.80,77.110640,,,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/c61b49cec6abd6b9"
"Victor Altamirano",12,4,0,0,172.72,56.699000,177.80,Switch,1991-01-23,4.55,57,3.70,54,3.43,39,63,0.0,"http://ufcstats.com/fighter-details/dc7927cd622676a7"
"Mike Altman",1,4,0,0,177.80,83.914520,,Orthodox,,1.56,20,2.08,75,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/c11036da9162cb5f"
"Patricia Alujas",9,3,0,0,162.56,52.163080,162.56,Orthodox,1996-05-08,5.83,31,9.25,44,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/430c533614d45813"
"Sean Alvarez",4,3,0,0,182.88,106.594120,,Orthodox,1971-07-14,0.89,37,3.25,47,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/e741536153227386"
"Eddie Alvarez",29,6,0,1,175.26,70.306760,175.26,Orthodox,1984-01-11,4.32,41,4.39,55,2.92,36,92,0.5,"http://ufcstats.com/fighter-details/33a331684283900f"
"Jaime Alvarez",6,1,0,0,172.72,56.699000,175.26,Orthodox,1988-03-08,2.73,40,4.53,56,1.00,33,50,0.0,"http://ufcstats.com/fighter-details/4438482bd1d5a029"
"Joel Alvarez",20,3,0,0,190.50,70.306760,195.58,Orthodox,1993-03-02,3.65,46,3.37,50,0.00,0,11,1.3,"http://ufcstats.com/fighter-details/58bbef3770bb2dfc"
"Thiago Alves",23,15,0,0,175.26,77.110640,177.80,Orthodox,1983-10-03,3.73,41,3.42,62,0.71,60,63,0.3,"http://ufcstats.com/fighter-details/31ee470ef5dc8d7f"
"Anthony Alves",1,4,0,0,,,,,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/bd92cf5da5413d2a"
"Amilcar Alves",15,12,0,0,182.88,77.110640,,Southpaw,1988-08-08,0.50,46,2.02,30,0.00,0,53,0.0,"http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc"
"Warlley Alves",15,7,0,0,180.34,83.914520,182.88,Orthodox,1991-01-04,3.25,48,4.21,50,1.35,50,80,0.9,"http://ufcstats.com/fighter-details/d317a5e2b3f88c5f"
"Rafael Alves",20,12,0,0,172.72,70.306760,172.72,Orthodox,1990-11-14,1.85,48,3.30,58,0.29,25,44,1.5,"http://ufcstats.com/fighter-details/029afd138865d20a"
"Sam Alvey",33,18,1,1,187.96,83.914520,190.50,Southpaw,1986-05-06,3.28,44,3.63,52,0.06,14,82,0.1,"http://ufcstats.com/fighter-details/d156513a19acf856"
"Andre Amado",6,4,1,0,182.88,69.853168,,Orthodox,,2.27,24,5.91,63,0.00,0,20,0.0,"http://ufcstats.com/fighter-details/20821819c401ced8"
"Adlan Amagov",14,2,1,0,187.96,77.110640,193.04,Orthodox,1986-10-30,3.29,47,0.82,78,5.84,56,100,0.0,"http://ufcstats.com/fighter-details/1e327b281ef6a745"
"Maiara Amanajas dos Santos",7,3,0,0,165.10,52.163080,,Southpaw,1987-07-11,5.53,35,24.47,33,0.00,0,100,0.0,"http://ufcstats.com/fighter-details/247fbbfafea60bb1"
"Rayanne Amanda",14,7,0,0,157.48,52.163080,157.48,Orthodox,1995-06-08,3.73,36,4.63,65,0.50,20,88,0.0,"http://ufcstats.com/fighter-details/02bb48869eb7ac8f"
"Chris Amarante",2,0,0,0,,83.914520,,,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/ee0b69e307c857e5"
"Jimmy Ambriz",17,21,1,0,187.96,142.881480,,Southpaw,1970-01-26,0.83,29,3.76,40,3.13,57,100,0.8,"http://ufcstats.com/fighter-details/c912f676692c353a"
"JJ Ambrose",28,7,0,2,177.80,77.110640,,Orthodox,,3.16,69,6.32,33,0.00,0,50,0.0,"http://ufcstats.com/fighter-details/d562b12b8fe88336"
"Alen Amedovski",8,4,0,0,177.80,83.914520,187.96,Orthodox,1988-04-06,0.99,30,3.85,46,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/70fa1c64a2c439ef"
"Hyder Amil",9,0,0,0,175.26,65.770840,177.80,Switch,1990-05-28,4.73,54,2.16,61,0.68,33,78,2.0,"http://ufcstats.com/fighter-details/41cc71cbf210e0fe"
"Makwan Amirkhani",17,9,0,0,177.80,65.770840,182.88,Southpaw,1988-11-08,1.33,44,2.98,46,3.96,43,35,1.1,"http://ufcstats.com/fighter-details/87a1dc546b1c5caf"
"Jaqueline Amorim",8,1,0,0,160.02,52.163080,172.72,Orthodox,1995-06-24,3.33,52,1.85,62,1.48,23,0,5.4,"http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08"
"Bertrand Amoussou",1,1,0,0,172.72,86.182480,,Orthodox,,6.75,39,2.01,83,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/53adf5b845d91e4a"
"Karl Amoussou",27,7,2,0,180.34,83.914520,,Orthodox,1985-11-21,1.47,34,2.67,54,0.00,0,25,1.0,"http://ufcstats.com/fighter-details/23a8c33869bf5392"
"Eryk Anders",16,8,0,1,185.42,83.914520,190.50,Southpaw,1987-04-21,3.41,47,4.17,50,1.79,26,79,0.1,"http://ufcstats.com/fighter-details/cad24459b28592ca"
"Matt Andersen",14,8,1,0,187.96,104.326160,,Southpaw,1971-05-29,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/8738eacd62e82a32"
"Andy Anderson",0,1,0,0,167.64,108.862080,,,1974-07-16,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/9199e0735b83dd32"
"Lowell Anderson",0,1,0,0,167.64,72.574720,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/1ffc38f67785797b"
"Corey Anderson",14,5,0,0,190.50,92.986360,200.66,Orthodox,1989-09-22,4.43,46,2.22,59,4.89,50,83,0.0,"http://ufcstats.com/fighter-details/5e4eec08896c9423"
"Derek Anderson",14,3,0,1,182.88,70.306760,,,1990-02-02,3.97,37,3.08,61,0.34,14,60,0.0,"http://ufcstats.com/fighter-details/19ba965651486013"
"Megan Anderson",11,5,0,0,182.88,65.770840,182.88,Orthodox,1990-02-11,1.76,46,3.35,37,0.52,25,53,0.5,"http://ufcstats.com/fighter-details/a0e75f4a13eb73f1"
"Tatsuya Ando",13,3,1,0,,61.234920,,,1990-04-26,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/17615148dd4be6f6"
"Alex Andrade",10,5,0,0,180.34,90.718400,,Orthodox,1974-05-14,0.20,36,2.60,53,0.00,0,25,0.8,"http://ufcstats.com/fighter-details/1562b12763cc8d67"
"Jessica Andrade",25,12,0,0,154.94,52.163080,157.48,Orthodox,1991-09-25,6.67,50,5.36,54,2.45,54,72,0.4,"http://ufcstats.com/fighter-details/6a1901c62ab3870f"
"Viscardi Andrade",19,6,0,0,180.34,77.110640,190.50,Orthodox,1984-03-08,3.26,42,2.77,63,1.93,50,66,0.3,"http://ufcstats.com/fighter-details/d221ee27afc7a60e"
"Jermaine Andre",14,4,0,0,170.18,90.718400,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/9bad58fa651d6196"
"Juan Andres Luna",12,1,0,0,170.18,56.699000,182.88,Orthodox,1995-08-20,3.27,31,3.00,65,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/1fd9f744105024a8"
"Fellipe Andrew",0,0,0,0,,,,,1994-10-24,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/7977fb0fd9c5955d"
"Dylan Andrews",18,7,0,1,185.42,83.914520,187.96,Switch,1979-11-15,2.21,50,2.72,46,2.83,50,57,0.4,"http://ufcstats.com/fighter-details/00debc804e2b1cd4"
"Reese Andy",7,3,0,0,182.88,92.986360,,Orthodox,1973-03-31,2.87,50,3.50,58,0.67,20,40,0.0,"http://ufcstats.com/fighter-details/46e2ca71fd5089cb"
Angga,13,3,0,0,170.18,65.770840,172.72,Orthodox,1989-01-13,3.56,38,3.77,53,0.00,0,33,0.0,"http://ufcstats.com/fighter-details/d6a3e131ad4ba064"
"Julius Anglickas",5,1,0,0,190.50,92.986360,,Orthodox,1991-07-23,4.62,78,1.86,50,4.47,50,60,1.1,"http://ufcstats.com/fighter-details/e20ad078a7d63361"
"Collin Anglin",8,3,0,0,175.26,65.770840,180.34,Orthodox,1993-02-20,4.59,48,5.54,51,2.28,66,100,0.0,"http://ufcstats.com/fighter-details/047a91d3d9c79b05"
"Chad Anheliger",13,7,0,0,167.64,61.234920,162.56,Orthodox,1986-12-01,3.60,45,3.11,53,0.82,30,42,0.6,"http://ufcstats.com/fighter-details/c7c39e2fb70248b3"
"Yoji Anjo",0,5,1,0,180.34,92.986360,,Orthodox,1967-03-28,0.00,0,3.13,25,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/e06fd1260ac865a7"
"Magomed Ankalaev",19,1,1,1,190.50,92.986360,190.50,Orthodox,1992-06-02,3.64,53,2.25,59,1.02,31,86,0.0,"http://ufcstats.com/fighter-details/d802174b0c0c1f4e"
